House,Time,TV,Agg
1.0,73.0,13.33,177.10300000000004
1.0,74.0,13.792,179.54700000000003
1.0,75.0,14.41,179.902
1.0,76.0,13.3,179.77800000000002
1.0,77.0,13.698,180.001
1.0,78.0,11.174,176.31799999999998
1.0,79.0,11.059000000000001,174.91899999999998
1.0,80.0,11.388,174.143
1.0,81.0,11.21,172.04800000000003
1.0,82.0,11.297,172.527
1.0,83.0,11.146,170.304
1.0,84.0,11.52,170.735
1.0,85.0,11.331,97.46600000000001
1.0,86.0,11.033,98.621
1.0,87.0,10.711,96.98500000000001
1.0,88.0,11.274000000000001,97.19600000000001
1.0,89.0,11.370000000000001,96.50699999999999
1.0,90.0,11.048,97.083
1.0,91.0,11.299,94.64799999999998
1.0,92.0,10.976,94.208
1.0,93.0,11.609,96.491
1.0,94.0,11.056000000000001,93.65
1.0,95.0,11.325000000000001,94.76599999999999
1.0,96.0,11.41,93.81299999999999
1.0,97.0,11.394,93.93700000000001
1.0,98.0,13.768,96.59
1.0,99.0,13.586,97.476
1.0,100.0,11.324,93.468
1.0,101.0,11.275,92.861
1.0,102.0,11.258000000000001,91.355
1.0,103.0,11.106,92.88899999999998
1.0,104.0,11.244,92.60499999999999
1.0,105.0,11.367,91.98100000000001
1.0,106.0,11.036,25.036
1.0,107.0,11.26,25.715
1.0,108.0,11.128,25.082
1.0,109.0,11.091000000000001,24.703000000000003
1.0,110.0,11.227,25.692000000000004
1.0,111.0,11.325000000000001,25.392000000000003
1.0,112.0,11.143,25.599
1.0,113.0,10.85,25.673
1.0,114.0,11.281,25.994999999999997
1.0,115.0,10.956,25.919999999999998
1.0,116.0,11.242,25.587
1.0,117.0,11.254,25.461
1.0,118.0,11.113,25.103
1.0,119.0,11.393,26.368
1.0,120.0,11.175,26.153
1.0,121.0,11.321,26.107000000000003
1.0,122.0,11.058,107.44599999999998
1.0,123.0,10.96,106.95600000000002
1.0,124.0,11.328,105.68200000000002
1.0,125.0,11.279,104.758
1.0,126.0,11.01,102.54500000000002
1.0,127.0,11.701,102.817
1.0,128.0,11.397,102.20300000000002
1.0,129.0,11.256,102.09500000000001
1.0,130.0,14.007,102.289
1.0,131.0,13.727,103.02600000000001
1.0,132.0,11.348,99.00000000000001
1.0,133.0,11.16,98.57
1.0,134.0,11.258000000000001,98.95700000000001
1.0,135.0,11.126,98.418
1.0,136.0,11.11,96.121
1.0,137.0,11.339,26.272999999999996
1.0,138.0,10.972,26.357
1.0,139.0,11.029,25.939
1.0,140.0,14.578000000000001,29.799000000000003
1.0,141.0,14.489,29.125000000000004
1.0,142.0,14.126,29.262999999999998
1.0,143.0,11.292,25.941000000000003
1.0,144.0,11.166,26.121000000000002
1.0,145.0,11.166,25.992
1.0,146.0,11.488,98.757
1.0,147.0,11.209,101.054
1.0,148.0,11.14,101.48800000000001
1.0,149.0,11.579,102.204
1.0,150.0,11.365,100.671
1.0,151.0,11.02,98.47399999999999
1.0,152.0,11.44,100.14299999999999
1.0,153.0,11.159,98.816
1.0,154.0,11.443,98.535
1.0,155.0,11.314,97.69200000000001
1.0,156.0,11.313,97.85300000000001
1.0,157.0,11.245000000000001,98.225
1.0,158.0,11.16,96.95100000000001
1.0,159.0,19.255,105.50699999999999
1.0,160.0,19.446,105.475
1.0,161.0,19.752,104.208
1.0,162.0,19.707,103.86799999999998
1.0,163.0,19.984,103.40700000000001
1.0,164.0,19.274,101.992
1.0,165.0,20.381,102.76199999999999
1.0,166.0,19.935,103.49900000000001
1.0,167.0,19.852,103.616
1.0,168.0,19.78,102.83600000000001
1.0,169.0,19.292,102.216
1.0,170.0,20.179000000000002,100.84899999999999
1.0,171.0,20.071,102.93200000000002
1.0,172.0,19.963,101.723
1.0,173.0,20.302,102.785
1.0,174.0,19.622,116.185
1.0,175.0,20.257,115.44
1.0,176.0,19.77,113.055
1.0,177.0,19.899,111.501
1.0,178.0,19.205000000000002,111.12100000000001
1.0,179.0,19.821,110.455
1.0,180.0,20.173000000000002,111.462
1.0,181.0,20.194,110.09900000000002
1.0,182.0,19.830000000000002,109.074
1.0,183.0,19.995,108.82600000000001
1.0,184.0,19.102,106.298
1.0,185.0,19.585,106.741
1.0,186.0,20.093,107.126
1.0,187.0,19.743000000000002,106.403
1.0,188.0,19.578,34.603
1.0,189.0,19.643,34.309000000000005
1.0,190.0,19.359,34.612
1.0,191.0,19.844,34.87499999999999
1.0,192.0,19.775000000000002,34.43900000000001
1.0,193.0,19.913,33.926
1.0,194.0,19.811,34.425000000000004
1.0,195.0,19.876,34.536
1.0,196.0,19.814,34.777
1.0,197.0,19.57,34.242
1.0,198.0,19.968,34.909
1.0,199.0,19.386,100.40700000000001
1.0,200.0,19.799,104.343
1.0,201.0,20.004,107.86300000000001
1.0,202.0,19.926000000000002,108.418
1.0,203.0,19.702,107.141
1.0,204.0,19.786,107.63600000000001
1.0,205.0,19.516000000000002,106.83600000000001
1.0,206.0,19.924,107.00399999999999
1.0,207.0,19.882,106.169
1.0,208.0,19.716,106.628
1.0,209.0,19.989,106.255
1.0,210.0,19.89,104.18900000000001
1.0,211.0,19.752,105.427
1.0,212.0,20.013,103.97600000000001
1.0,213.0,19.727,103.071
1.0,214.0,20.076,104.156
1.0,215.0,19.741,101.33300000000001
1.0,216.0,20.09,103.21400000000001
1.0,217.0,19.803,103.83800000000001
1.0,218.0,19.455000000000002,101.94900000000001
1.0,219.0,20.282,102.75800000000001
1.0,220.0,19.815,100.63900000000001
1.0,221.0,20.014,34.855
1.0,222.0,19.761,34.684
1.0,223.0,20.153,34.708
1.0,224.0,19.844,34.86
1.0,225.0,19.465,34.447
1.0,226.0,19.61,116.81799999999998
1.0,227.0,19.751,114.537
1.0,228.0,19.214,112.678
1.0,229.0,19.476,110.542
1.0,230.0,19.083000000000002,109.774
1.0,231.0,19.738,111.161
1.0,232.0,20.171,110.19000000000001
1.0,233.0,19.256,108.514
1.0,234.0,19.642,108.62900000000002
1.0,235.0,20.256,108.397
1.0,236.0,19.659,107.08899999999998
1.0,237.0,19.518,105.86200000000001
1.0,238.0,19.866,106.47600000000001
1.0,239.0,19.484,105.66499999999999
1.0,240.0,20.0,34.828
1.0,241.0,19.993000000000002,35.75000000000001
1.0,242.0,20.069,33.986
1.0,243.0,19.875,34.41
1.0,244.0,19.344,33.315
1.0,245.0,20.740000000000002,35.238
1.0,246.0,19.621,34.016
1.0,247.0,19.811,34.452
1.0,248.0,19.287,34.695
1.0,249.0,19.618000000000002,34.626000000000005
1.0,250.0,20.319,34.955
1.0,251.0,19.823,35.599000000000004
1.0,252.0,19.823,34.868
1.0,253.0,19.488,33.964
1.0,254.0,19.872,34.491
1.0,255.0,19.559,33.797000000000004
1.0,256.0,19.505,33.927
1.0,257.0,19.12,33.906000000000006
1.0,258.0,19.208000000000002,33.469
1.0,259.0,19.795,34.883
1.0,260.0,19.596,104.39800000000001
1.0,261.0,19.69,109.66799999999999
1.0,262.0,20.338,109.894
1.0,263.0,19.505,109.539
1.0,264.0,19.312,109.42300000000002
1.0,265.0,19.896,110.59700000000001
1.0,266.0,19.297,108.822
1.0,267.0,19.752,108.66799999999999
1.0,268.0,19.258,108.75299999999999
1.0,269.0,19.348,107.552
1.0,270.0,19.919,107.20499999999998
1.0,271.0,19.256,106.691
1.0,272.0,19.466,107.033
1.0,273.0,19.794,106.328
1.0,274.0,19.778,105.269
1.0,275.0,19.731,105.62799999999999
1.0,276.0,19.372,104.402
1.0,277.0,20.163,184.322
1.0,278.0,19.949,187.43300000000002
1.0,279.0,19.958000000000002,183.601
1.0,280.0,13.61,175.27200000000002
1.0,281.0,13.48,174.079
1.0,282.0,13.47,173.21500000000003
1.0,283.0,11.211,169.89600000000004
1.0,284.0,10.944,168.424
1.0,285.0,11.867,167.62
1.0,286.0,11.128,166.581
1.0,287.0,11.206,166.43299999999996
1.0,288.0,11.134,165.64
1.0,289.0,11.096,164.05800000000002
1.0,290.0,11.061,97.29400000000001
1.0,291.0,11.152000000000001,96.399
1.0,292.0,11.015,25.807000000000002
1.0,293.0,10.837,24.647
1.0,294.0,10.91,24.315
1.0,295.0,11.198,25.386
1.0,296.0,11.047,26.141000000000002
1.0,297.0,10.885,25.412000000000003
1.0,298.0,11.543000000000001,25.796000000000003
1.0,299.0,11.071,25.812
1.0,300.0,11.044,25.047
1.0,301.0,11.119,25.682
1.0,302.0,11.184000000000001,25.511000000000003
1.0,303.0,11.019,25.426
1.0,304.0,11.048,25.412
1.0,305.0,11.224,26.022000000000002
1.0,306.0,11.099,26.036
1.0,307.0,11.111,25.187000000000005
1.0,308.0,14.216000000000001,28.606
1.0,309.0,13.27,27.453999999999997
1.0,310.0,11.15,25.232
1.0,311.0,11.13,25.884
1.0,312.0,11.305,25.091
1.0,313.0,11.01,23.567
1.0,314.0,11.343,24.744
1.0,315.0,11.425,24.459000000000007
1.0,316.0,11.096,24.967
1.0,317.0,11.295,25.817000000000004
1.0,318.0,10.884,25.096
1.0,319.0,11.290000000000001,25.222
1.0,320.0,11.184000000000001,25.175
1.0,321.0,11.033,24.807000000000002
1.0,322.0,11.576,25.695
1.0,323.0,10.870000000000001,25.915
1.0,324.0,11.02,25.493
1.0,325.0,10.905,24.500999999999998
1.0,326.0,11.186,25.764
1.0,327.0,11.557,26.040000000000003
1.0,328.0,11.338000000000001,26.021
1.0,329.0,11.151,105.246
1.0,330.0,11.129,107.45200000000001
1.0,331.0,11.277000000000001,175.737
1.0,332.0,11.358,175.48900000000003
1.0,333.0,11.522,176.953
1.0,334.0,11.222,176.71900000000002
1.0,335.0,11.113,177.81600000000003
1.0,336.0,11.192,174.78200000000004
1.0,337.0,11.441,174.31300000000002
1.0,338.0,11.466000000000001,172.80200000000002
1.0,339.0,11.249,172.18300000000002
1.0,340.0,10.834,170.955
1.0,341.0,11.022,171.53000000000003
1.0,342.0,10.644,169.20499999999998
1.0,343.0,11.09,171.341
1.0,344.0,11.469,97.43499999999999
1.0,345.0,11.314,96.66199999999999
1.0,346.0,11.298,97.784
1.0,347.0,11.16,95.484
1.0,348.0,11.102,93.829
1.0,349.0,11.289,97.28800000000003
1.0,350.0,10.767,94.57499999999999
1.0,351.0,11.328,95.01
1.0,352.0,11.444,95.836
1.0,353.0,11.499,94.90599999999999
1.0,354.0,11.016,93.81700000000001
1.0,355.0,11.242,92.603
1.0,356.0,11.223,92.092
1.0,357.0,11.148,91.66699999999999
1.0,358.0,11.178,92.003
1.0,359.0,10.725,92.063
1.0,360.0,11.387,92.07300000000001
1.0,361.0,11.228,25.099999999999998
1.0,362.0,11.477,25.013
1.0,363.0,11.202,24.835999999999995
1.0,364.0,11.172,25.278000000000006
1.0,365.0,10.861,24.904
1.0,366.0,11.217,23.709
1.0,367.0,11.261000000000001,24.835
1.0,368.0,14.803,27.983
1.0,369.0,14.425,27.798
1.0,370.0,11.693,25.755000000000003
1.0,371.0,11.033,25.287
1.0,372.0,11.236,25.631
1.0,373.0,10.989,24.578000000000003
1.0,374.0,11.335,25.818
1.0,375.0,11.11,24.563
1.0,376.0,10.909,25.838000000000005
1.0,377.0,11.284,25.498
1.0,378.0,11.134,25.107
1.0,379.0,11.342,25.205000000000002
1.0,380.0,11.305,25.301
1.0,381.0,11.247,25.724999999999998
1.0,382.0,11.311,108.22400000000002
1.0,383.0,20.032,113.67
1.0,384.0,21.813,113.834
1.0,385.0,13.803,104.918
1.0,386.0,13.693,104.34800000000001
1.0,387.0,13.568,104.35799999999999
1.0,388.0,13.967,103.358
1.0,389.0,13.618,102.077
1.0,390.0,13.73,101.443
1.0,391.0,13.542,100.89900000000002
1.0,392.0,11.491,98.093
1.0,393.0,11.359,97.89200000000001
1.0,394.0,10.894,96.09
1.0,395.0,11.304,96.32600000000001
1.0,396.0,11.496,25.505000000000003
1.0,397.0,11.325000000000001,25.089000000000002
1.0,398.0,11.265,25.586000000000002
1.0,399.0,10.876,24.718000000000004
1.0,400.0,11.185,24.105999999999998
1.0,401.0,11.24,97.097
1.0,402.0,10.798,100.02900000000001
1.0,403.0,11.187,101.023
1.0,404.0,11.229000000000001,100.985
1.0,405.0,11.024000000000001,100.04500000000002
1.0,406.0,11.231,100.067
1.0,407.0,10.734,99.02199999999998
1.0,408.0,10.737,100.812
1.0,409.0,11.284,99.58900000000001
1.0,410.0,11.227,98.855
1.0,411.0,10.937,97.59700000000001
1.0,412.0,11.478,99.94099999999999
1.0,413.0,11.265,97.214
1.0,414.0,11.389000000000001,96.88
1.0,415.0,11.025,98.30400000000002
1.0,416.0,11.167,94.718
1.0,417.0,11.517,96.505
1.0,418.0,11.252,95.216
1.0,419.0,11.557,95.306
1.0,420.0,11.103,95.472
1.0,421.0,11.241,95.899
1.0,422.0,10.736,93.75400000000002
1.0,423.0,11.033,92.006
1.0,424.0,10.792,93.67300000000002
1.0,425.0,11.264,91.631
1.0,426.0,14.321,96.773
1.0,427.0,13.201,96.431
1.0,428.0,11.364,92.5
1.0,429.0,10.715,25.092
1.0,430.0,11.264,25.203999999999997
1.0,431.0,11.066,24.879000000000005
1.0,432.0,10.706,24.294000000000004
1.0,433.0,10.963000000000001,25.976
1.0,434.0,11.039,106.25399999999999
1.0,435.0,11.327,105.805
1.0,436.0,11.554,102.90200000000002
1.0,437.0,11.208,101.81400000000001
1.0,438.0,10.796,100.03299999999999
1.0,439.0,10.967,99.967
1.0,440.0,11.264,101.941
1.0,441.0,11.109,99.45299999999999
1.0,442.0,10.950000000000001,2981.8410000000003
1.0,443.0,11.079,97.534
1.0,444.0,10.987,96.691
1.0,445.0,11.083,96.984
1.0,446.0,11.26,96.805
1.0,447.0,10.854000000000001,95.698
1.0,448.0,10.86,24.481999999999996
1.0,449.0,11.031,25.825
1.0,450.0,11.302,24.368
1.0,451.0,11.207,25.358000000000004
1.0,452.0,11.324,25.271
1.0,453.0,11.124,24.712
1.0,454.0,11.450000000000001,26.247000000000003
1.0,455.0,11.02,25.262999999999998
1.0,456.0,11.153,25.625
1.0,457.0,11.099,25.269
1.0,458.0,11.213000000000001,25.518
1.0,459.0,10.949,24.453
1.0,460.0,10.902000000000001,24.130000000000003
1.0,461.0,11.368,25.567
1.0,462.0,10.854000000000001,24.778
1.0,463.0,10.705,24.721
1.0,464.0,11.227,24.739
1.0,465.0,11.193,94.33
1.0,466.0,11.478,99.82299999999998
1.0,467.0,11.017,99.986
1.0,468.0,11.153,100.216
1.0,469.0,11.1,98.97399999999999
1.0,470.0,11.212,101.09200000000001
1.0,471.0,10.923,99.47999999999999
1.0,472.0,10.615,98.88300000000001
1.0,473.0,11.369,98.20400000000001
1.0,474.0,11.164,99.38
1.0,475.0,10.533,98.682
1.0,476.0,11.244,99.19200000000001
1.0,477.0,11.25,97.039
1.0,478.0,11.339,97.542
1.0,479.0,11.002,96.366
1.0,480.0,11.217,96.509
1.0,481.0,11.215,95.75100000000002
1.0,482.0,10.808,95.047
1.0,483.0,11.06,95.16300000000001
1.0,484.0,10.954,94.81000000000002
1.0,485.0,10.85,94.979
1.0,486.0,11.029,174.719
1.0,487.0,14.06,179.219
1.0,488.0,14.519,173.72100000000003
1.0,489.0,11.766,169.58499999999998
1.0,490.0,13.924,172.435
1.0,491.0,13.393,102.709
1.0,492.0,11.01,99.09900000000002
1.0,493.0,11.287,99.12800000000003
1.0,494.0,11.138,98.331
1.0,495.0,10.783,97.42800000000001
1.0,496.0,11.045,97.12700000000001
1.0,497.0,11.494,97.324
1.0,498.0,10.956,95.71000000000001
1.0,499.0,11.678,95.629
1.0,500.0,11.583,25.908000000000005
1.0,501.0,10.924,23.905
1.0,502.0,11.502,25.162000000000003
1.0,503.0,11.538,25.282000000000004
1.0,504.0,11.326,24.141
1.0,505.0,10.837,25.332
1.0,506.0,11.393,25.201
1.0,507.0,11.246,24.912
1.0,508.0,11.484,25.024
1.0,509.0,11.411,25.324999999999996
1.0,510.0,11.487,25.044000000000004
1.0,511.0,11.13,25.272000000000002
1.0,512.0,10.745000000000001,24.536
1.0,513.0,11.434000000000001,25.805000000000003
1.0,514.0,11.108,25.305
1.0,515.0,11.068,25.176
1.0,516.0,11.287,25.031000000000002
1.0,517.0,11.685,24.883
1.0,518.0,10.917,24.241000000000003
1.0,519.0,11.435,25.149
1.0,520.0,11.148,24.857999999999997
1.0,521.0,10.989,24.228000000000005
1.0,522.0,11.107000000000001,24.396
1.0,523.0,11.450000000000001,24.829000000000004
1.0,524.0,11.401,24.346
1.0,525.0,11.311,24.769
1.0,526.0,10.949,97.79
1.0,527.0,11.339,99.562
1.0,528.0,11.257,101.688
1.0,529.0,11.156,100.81600000000002
1.0,530.0,11.34,102.303
1.0,531.0,11.544,100.466
1.0,532.0,11.354000000000001,99.633
1.0,533.0,11.355,99.82300000000001
1.0,534.0,10.979000000000001,98.947
1.0,535.0,11.394,98.134
1.0,536.0,11.305,97.99199999999999
1.0,537.0,10.965,97.08500000000001
1.0,538.0,11.382,177.265
1.0,539.0,11.3,179.03700000000003
1.0,540.0,11.238,175.79000000000002
1.0,541.0,11.159,173.75799999999998
1.0,542.0,10.951,172.033
1.0,543.0,11.144,170.449
1.0,544.0,11.557,170.537
1.0,545.0,11.039,169.051
1.0,546.0,11.029,167.611
1.0,547.0,11.076,168.817
1.0,548.0,10.923,167.10099999999997
1.0,549.0,11.316,166.546
1.0,550.0,11.556000000000001,96.94099999999999
1.0,551.0,11.366,96.91900000000003
1.0,552.0,11.219,24.857
1.0,553.0,11.4,24.915000000000003
1.0,554.0,11.141,24.824
1.0,555.0,11.450000000000001,25.441000000000003
1.0,556.0,11.046,25.161
1.0,557.0,11.378,24.904000000000003
1.0,558.0,11.163,24.880000000000003
1.0,559.0,11.021,25.078000000000003
1.0,560.0,11.265,25.270999999999997
1.0,561.0,11.462,24.936
1.0,562.0,11.377,24.784999999999997
1.0,563.0,11.725,24.919999999999998
1.0,564.0,11.162,24.808000000000003
1.0,565.0,11.366,24.657999999999998
1.0,566.0,11.636000000000001,25.335
1.0,567.0,11.235,23.817
1.0,568.0,11.168000000000001,24.874
1.0,569.0,11.122,25.64
1.0,570.0,11.11,25.019
1.0,571.0,10.917,24.349
1.0,572.0,11.046,24.711999999999996
1.0,573.0,11.466000000000001,25.256
1.0,574.0,11.158,25.292
1.0,575.0,11.079,24.839999999999996
1.0,576.0,11.512,25.241
1.0,577.0,11.3,25.173000000000005
1.0,578.0,11.311,26.032
1.0,579.0,11.298,25.787000000000003
1.0,580.0,11.133000000000001,25.764999999999997
1.0,581.0,11.222,26.139000000000003
1.0,582.0,11.255,26.074
1.0,583.0,11.132,26.141000000000002
1.0,584.0,11.142,25.848000000000003
1.0,585.0,11.409,25.726999999999997
1.0,586.0,11.066,98.84200000000001
1.0,587.0,11.115,95.926
1.0,588.0,11.338000000000001,101.502
1.0,589.0,11.242,99.716
1.0,590.0,11.523,103.024
1.0,591.0,10.929,183.165
1.0,592.0,10.987,180.065
1.0,593.0,11.274000000000001,178.15099999999998
1.0,594.0,11.158,176.636
1.0,595.0,11.105,175.567
1.0,596.0,11.525,174.16800000000003
1.0,597.0,11.329,173.719
1.0,598.0,10.981,173.60199999999998
1.0,599.0,10.651,170.34500000000003
1.0,600.0,11.334,170.88000000000002
1.0,601.0,11.131,169.06199999999998
1.0,602.0,11.31,168.988
1.0,603.0,11.124,167.378
1.0,604.0,11.447000000000001,95.71000000000001
1.0,605.0,11.519,95.721
1.0,606.0,11.158,92.43799999999999
1.0,607.0,11.294,95.63300000000001
1.0,608.0,10.898,94.359
1.0,609.0,11.120000000000001,94.636
1.0,610.0,11.647,95.64600000000002
1.0,611.0,11.226,93.182
1.0,612.0,14.837,97.60600000000001
1.0,613.0,13.552,95.21699999999998
1.0,614.0,11.335,92.66
1.0,615.0,10.89,25.168
1.0,616.0,11.039,24.175
1.0,617.0,11.059000000000001,25.531
1.0,618.0,11.599,26.077
1.0,619.0,11.317,26.244
1.0,620.0,11.427,26.062
1.0,621.0,11.394,25.485
1.0,622.0,11.063,25.416
1.0,623.0,10.767,25.245
1.0,624.0,11.124,25.981999999999996
1.0,625.0,11.426,25.756999999999998
1.0,626.0,11.615,25.858
1.0,627.0,11.374,26.005
1.0,628.0,11.198,25.4
1.0,629.0,11.291,25.467
1.0,630.0,11.211,25.487
1.0,631.0,11.439,25.476000000000003
1.0,632.0,11.133000000000001,24.497999999999998
1.0,633.0,11.186,25.471
1.0,634.0,11.413,25.596999999999998
1.0,635.0,11.334,25.697999999999997
1.0,636.0,11.879,26.531000000000002
1.0,637.0,11.436,25.358999999999998
1.0,638.0,11.1,25.724
1.0,639.0,10.932,25.059
1.0,640.0,10.953,24.84
1.0,641.0,11.387,25.727000000000004
1.0,642.0,11.523,26.213
1.0,643.0,10.854000000000001,107.327
1.0,644.0,11.422,107.54299999999999
1.0,645.0,11.278,104.768
1.0,646.0,11.427,103.32799999999999
1.0,647.0,11.257,102.42800000000001
1.0,648.0,11.292,101.22300000000001
1.0,649.0,11.312,101.579
1.0,650.0,11.185,173.02900000000002
1.0,651.0,11.433,173.94500000000002
1.0,652.0,10.832,170.81899999999996
1.0,653.0,12.118,176.663
1.0,654.0,11.8,174.01300000000003
1.0,655.0,11.707,172.55200000000002
1.0,656.0,11.078,170.52600000000004
1.0,657.0,11.341000000000001,99.97900000000001
1.0,658.0,11.058,98.623
1.0,659.0,11.257,98.8
1.0,660.0,10.919,97.574
1.0,661.0,11.032,97.73
1.0,662.0,11.339,96.76499999999999
1.0,663.0,11.315,97.478
1.0,664.0,11.453,97.299
1.0,665.0,11.232000000000001,95.03500000000001
1.0,666.0,11.351,96.092
1.0,667.0,11.06,95.49500000000002
1.0,668.0,11.662,95.056
1.0,669.0,11.313,95.066
1.0,670.0,14.438,96.834
1.0,671.0,13.835,95.965
1.0,672.0,11.392,94.963
1.0,673.0,11.241,92.486
1.0,674.0,10.884,92.403
1.0,675.0,11.657,93.417
1.0,676.0,11.704,25.019000000000002
1.0,677.0,11.036,24.514000000000003
1.0,678.0,11.222,25.311
1.0,679.0,11.615,25.866999999999997
1.0,680.0,11.068,25.119999999999997
1.0,681.0,11.356,25.226
1.0,682.0,10.969,25.3
1.0,683.0,11.22,25.563000000000002
1.0,684.0,11.134,25.065000000000005
1.0,685.0,11.596,26.012
1.0,686.0,11.316,25.347
1.0,687.0,11.84,25.313
1.0,688.0,10.947000000000001,24.934
1.0,689.0,11.347,26.198
1.0,690.0,11.155,24.997
1.0,691.0,10.992,25.176000000000002
1.0,692.0,11.183,24.904999999999998
1.0,693.0,11.306000000000001,24.882
1.0,694.0,11.685,25.823999999999998
1.0,695.0,10.701,108.27600000000001
1.0,696.0,11.426,107.991
1.0,697.0,11.128,104.27000000000001
1.0,698.0,10.974,104.001
1.0,699.0,11.392,101.955
1.0,700.0,11.392,103.294
1.0,701.0,10.963000000000001,101.22800000000001
1.0,702.0,11.368,100.319
1.0,703.0,11.055,100.117
1.0,704.0,11.574,100.47600000000001
1.0,705.0,17.004,104.779
1.0,706.0,20.087,107.025
1.0,707.0,21.071,107.499
1.0,708.0,22.644000000000002,108.50000000000001
1.0,709.0,20.758,35.893
1.0,710.0,22.125,35.709999999999994
1.0,711.0,20.598,34.839999999999996
1.0,712.0,22.226,105.49100000000001
1.0,713.0,22.585,110.29100000000001
1.0,714.0,19.976,109.77199999999999
1.0,715.0,22.173000000000002,111.682
1.0,716.0,20.923000000000002,111.941
1.0,717.0,22.109,111.04700000000001
1.0,718.0,20.872,109.034
1.0,719.0,21.794,110.73599999999999
1.0,720.0,22.276,110.84400000000001
1.0,721.0,21.742,110.00500000000001
1.0,722.0,21.953,109.66400000000002
1.0,723.0,22.212,108.654
1.0,724.0,22.565,107.905
1.0,725.0,21.889,107.12599999999999
1.0,726.0,20.473,106.289
1.0,727.0,22.124,107.536
1.0,728.0,19.747,104.27
1.0,729.0,20.188,102.937
1.0,730.0,19.716,103.963
1.0,731.0,22.126,106.26900000000002
1.0,732.0,21.967,105.75900000000001
1.0,733.0,21.865000000000002,105.837
1.0,734.0,22.426000000000002,104.262
1.0,735.0,19.967,102.83800000000001
1.0,736.0,13.715,96.247
1.0,737.0,13.326,95.27
1.0,738.0,13.796000000000001,27.236000000000004
1.0,739.0,11.328,25.099
1.0,740.0,11.226,24.697000000000003
1.0,741.0,11.183,25.325
1.0,742.0,11.354000000000001,25.214000000000002
1.0,743.0,11.037,25.279
1.0,744.0,11.285,25.756999999999998
1.0,745.0,11.001,24.31
1.0,746.0,11.195,25.616
1.0,747.0,11.539,26.07
1.0,748.0,11.611,109.206
1.0,749.0,11.224,104.578
1.0,750.0,11.737,103.923
1.0,751.0,11.045,101.98800000000001
1.0,752.0,11.134,101.227
1.0,753.0,11.439,100.864
1.0,754.0,11.478,102.00399999999999
1.0,755.0,11.407,100.162
1.0,756.0,13.530000000000001,102.92700000000002
1.0,757.0,13.559000000000001,100.56299999999999
1.0,758.0,11.421,98.67099999999999
1.0,759.0,11.498000000000001,97.98700000000001
1.0,760.0,11.545,97.25800000000001
1.0,761.0,11.684000000000001,97.32100000000001
1.0,762.0,10.894,24.737
1.0,763.0,11.077,24.814
1.0,764.0,10.691,24.581
